ABC-book	букварь
Bahamian	багамский
Balkan	балканский
Bangladesh	Бангладеш
Bangladeshi	бангладешский
Banff	Банф (графство и город)
Barbados	Барбадос
Barbara	Барбара
Bartholomew	Бартоломью
Bahrain	Бахрейн
Bahrein	Бахрейн
Bacchus	Бахус
Argus-eyed	бдительный
Beatrice	Беатрис
Beatrix	Беатрис
Belize	Белиз
Belgian	бельгийский
Belgium	Бельгия
Bengali	бенгалец
Bengal	бенгальский
Benedict	Бенедикт
Benedictine	бенедиктинец (монах)
Benin	Бенин
Berber	бербер
Berkshire	Беркшир (графство в Англии)
Bermudas	Бермудские острова
Bernard	Бернард
Bertram	Бертрам
Bible	библия
Bohemia	богема
Bohemian	богемский
Baldwin	Болдуин
Bolivian	боливийский
Bolivia	Боливия
Bologna-sausage	болонская (копченая) колбаса
Bolshevism	большевизм
Bolshevik	большевик
Bolshevist	большевик
Bordeaux	бордо (вино)
Boreas	Борей
Bosporus	Босфор
Botswana	Ботсвана
Brazil	Бразилия
Brazilian	бразильский
Brian	Брайан
Brie	бри
Bridget	Бриджит
Brit	британец
Britannic	британский (в дипломатическом титуле короля или царствующей королевы)
Boer	бур (голландский поселенец в Южной Африке)
Bhutan	Бутан
Basil	Бэзил
Babylon	Вавилон
Bacchanalia	вакханалия
Bacchanal	вакхический
Bacchic	вакхический
Balaam	Валаам
Boston	вальс-бостон
Britannia	Великобритания (тж. олицетворение Великобритании в виде женской фигуры на монетах и т. п.)
Beelzebub	Вельзевул
Aquarius	Водолей (созвездие и знак зодиака)
Auriga	Возничий (созвездие)
Bootes	Волопас (созвездие)
Ascensiontide	время от вознесения до троицына дня
All-Russian	всероссийский
All-Union	всесоюзный
Alarmed	встревоженный
Alexandria	г. Александрия
Algiers	г. Алжир
Alma-Ata	г. Алма-Ата
Amman	г. Амман
Amsterdam	г. Амстердам
Ankara	г. Анкара
Antananarivo	г. Антананариву
Antwerp	г. Антверпен
Apia	г. Апиа
Arlington	г. Арлингтон
Arkhangelsk	г. Архангельск
Asmara	г. Асмара
Astrakhan	г. Астрахань
Assouan	г. Асуан
Aswan	г. Асуан
Asuncion	г. Асунсьон
Atlanta	г. Атланта
Athens	г. Афины
Ashkhabad	г. Ашхабад
Basel	г. Базель
Basle	г. Базель
Baku	г. Баку
Baltimore	г. Балтимор
Bamako	г. Бамако
Bangui	г. Банги
Bangkok	г. Бангкок
Banjoul	г. Банджул
Banjul	г. Банджул
Barcelona	г. Барселона
Basra	г. Басра
Basse-Terre	г. Бас-Тер
Bath	г. Бат
Batumi	г. Батуми
Beirut	г. Бейрут
Belgrade	г. Белград
Belfast	г. Белфаст
Bilbao	г. Бильбао
Birmingham	г. Бирмингем
Bissau	г. Бисау
Blackpool	г. Блэкпул
Bogota	г. Богота
Bombay	г. Бомбей
Bonn	г. Бонн
Bournemouth	г. Борнмут
Brazzaville	г. Браззавиль
Brasilia	г. Бразилиа
Brighton	г. Брайтон
Bremen	г. Бремен
Brest	г. Брест
Bridgeport	г. Бриджпорт
Bridgetown	г. Бриджтаун
Brisbane	г. Брисбен
Bristol	г. Бристоль
Bradford	г. Брэдфорд
Boulogne	г. Булонь
Auckland	г. Окленд
Albany	г. Олбани
Austin	г. Остин
Bengasi	г.Бенгази
Benghazi	г.Бенгази
Boeotian	грубый
April-fool-day	день веселых обманов (1 апреля)
Boxing-day	день на святках
Belial	дьявол
Australasian	житель Австралазии
Asian	житель/уроженец Азии
Annelida	кольчатые черви
Austro	компонент сложных слов со значением южный
Alcoran	коран
Boanerges	крикливый проповедник/оратор
Benjamin	младший сын
Aubrey	Обри
Babbitry	обывательщина
Borneo	о-в Борнео
Aries	Овен (созвездие и знак зодиака)
Augustus	Огастес
Baikal	оз. Байкал
Bantu	относящийся к банту
Barbadian	относящийся к Барбадосу
Augustan	относящийся к эпохе Августа
Arabia	п-ов Аравия
Ascension-day	праздник вознесения
Baedeker	путеводитель по историческим местам
Amur	р. Амур
Angara	р. Ангара
Brahmaputra	р. Брахмапутра
Avon	р. Эйвон
Blenheim	разновидность спаниеля
Amazonian	свойственный амазонкам
Bluebeard	Синяя Борода (сказочный персонаж)
Berlin	старинная дорожная карета
Angst	страх
Bedouin	тж. бедуин
Boniface	трактирщик
Benthamite	утилитарист
Benthamism	учение Бентама
Asiatic	часто азиат
April-fool	человек
Algernon	Элджернон
Alice	Элис
Alsatian	эльзасский
Ambrose	Эмброуз
Amy	Эми
Andrew	Эндрю
Ann	Энн
Annabel	Эннабел
Anthony	Энтони
Antony	Энтони
Airedale	эрдельтерьер (порода собак)
Ayrshire	Эршир (графство в Шотландии)
Ascot	Эскот (знаменитое место ежегодных скачек)
Balaam-box	ящик для запасного материала (в редакции газеты)
Aids	(сокр. от acquired immunodeficiency syndrome) синдром приобретенного иммунодефицита , СПИД
Elijah	(пророк) Илия
CP	calorific power теплотворная способность
CTC	Canadian Transport Commission канадская транспортная комиссия Centralized Traffic Control (railways) централизованный контроль (железнодорожного) движения
CWO	cash with order наличный расчет при выдаче заказа Chief Warrant Officer старший уоррэнт-офицер
CO	cash-order тратта
C.A.	Central America Центральная Америка Court of Appeal апелляционный суд
CEC	Central Executive Committee центральный исполнительный комитет Commission of the European Communities комиссия Европейского Сообщества
CT	Central Time центральное время Connecticut Коннектикут
CPI	Characters Per Inch (количество) символов на дюйме Common Programming Interface общий программный интерфейс
CA	Chartered Accountant бухгалтер-эксперт current account текущий счет California Калифорния Chief Accountant главный бухгалтер
CW	chemical warfare химическая война Continuous Wave незатухающая волна
CS	Chief of Staff начальник штаба Civil Service государственная гражданская служба Computer Science
CPO	Chief Petty Officer главный старшина Chief Post Office главное почтовое отделение
CD	Civil Defence гражданская оборона Corps Diplomatique дипломатический корпус compact disc компакт-диск
CE	Civil Engineer инженер-строитель Chemical Engineer инженер-химик Common Era наша эра Corps of Engineers инженерный корпус сухопутных войск
CAD	computer-aided design автоматизированное проектирование cash against documents платеж наличными против грузовых документов
CAM	computer-aided manufacturing автоматизированное производство Computer Aided Management автоматизированное управление
CIO	Congress of Industrial Organizations Конгресс производственных профсоюзов США
CM	court martial военный суд Common Market Общий рынок
DP	Data Processing обработка данных Displaced Persons перемещенное лицо Dial Pulse импульс набора
DA	days after acceptance (через столько-то) дней после акцепта District Attorney окружной прокурор (США) Don't Answer не отвечает
DD	"days after date (через столько-то) дней от сего числа demand draft тратта , срочная по предъявлении Dishonorable Discharge увольнение с военной службы за "недостойное поведение"
Dr	debtor должник
D.C.	direct current постоянный ток District of Columbia федеральный округ Колумбия (США)
DS	document signed документ
EE	Early English раннеанглийский язык Envoy Extraordinary чрезвычайный посланник Electrical Engineer инженер-электрик
E.	East
ET	Eastern Time восточное время ExtraTerrestrial внеземной
EM	electromagnetic электромагнитный enlisted man рядовой (армии США) Engineer of Mines горный инженер
ECM	Electronic Counter Measure радиопротиводействие European Common Market Европейский Общий рынок
EDS	English Dialect Society Английское диалектологическое общество Electronic Data System электронная информационная система
EW	enlisted woman женщина-рядовой (в армии США) Electronic Warfare активное противодействие
EP	estimated position предполагаемое положение Extended Play долгоиграющая пластинка
EMS	Expanded Memory Specification расширенная память (компьютера) Electronic Message System система электронных сообщений
FL	falsa lectio разночтение Florida Флорида
FPC	Federal Power Commission Федеральная комиссия по энергетике (США) Fish Protein Concentrate рыбно-белковый концентрат
FPO	Field Post Office военно-полевая почта Fleet Post Office почтовое отделение флота
FAS	free alongside ship франко вдоль борта судна Foreign Agricultural Service иностранная сельскохозяйственная служба
G.P.O.	General Post Office главное почтовое управление Government Printing Office Правительственная типография (США)
GSA	"General Services Administration Администрация общих служб (США) Girl Scouts of America "Герлскауты Америки" (женская молодежная организация)"
General-in-Chief	Generals-in-Chief главнокомандующий
GI	Government Issue солдат
Gov	governor губернатор
Carrie	of Caroline Кэрри
Cathie	of Catherine Кэти
Chris	of Christian
Christie	of Christian Кристи
Clem	of Clement Клем
Connie	of Constance Конни
Dan	of Daniel Дэн
Dannie	of Daniel Дэнни
Dave	of David Дейв
Davy	of David Дэви
Doll	of Dorothy Долл
Dolly	of Dorothy Долли
Ed	of Edgar
Eddie	of Edward
Eddy	of Edward
Ella	of Eleanor Элла
Ellen	of Eleanor Эллен
Elsie	of Elisabeth
Em	of Emily Эм
Emm	of Emma Эм(м)
Emmie	of Emma Эмми
Ernie	of Ernest Эрни
Essie	of Esther Эсси
Flo	of Florence
Floy	of Florence Флой
Flossie	of Florence Флосси
Fanny	of Frances Фанни
Frank	of Francis Фрэнк
Fred	of Frederick Фред
Freddie	of Frederick Фредди
Freddy	of Frederick Фредди
Gertie	of Gertrude Герти
Gil	of Gilbert Гил
GIJ	of government issue Jane женщина-солдат {см. GI}
G-man	of Government man агент Федерального бюро расследований
Etta	of Henrietta Этта
Greta	of Margaret Грета
Colette	of Nicola Колетт(а)
Dick	of Richard Дик
Dob	of Robert Доб
Dobbin	of Robert Доббин
Dora	of Theodora
Grail	The (Holy) Grail
D-ration	аварийный паек
Commemoration	акт Оксфордского университета с поминанием основателей
Englishism	английская черта
English	английский
Englishman	англичанин
Englishwoman	англичанка
England	Англия
Byelorussia	Белоруссия
Byelorussian	белорусский
Burma	Бирма
Burmese	бирманский
Gemini	Близнецы (созвездие и знак зодиака)
Dives	богач
Epiphany	Богоявление
Bulgaria	Болгария
Bulgarian	болгарский
Brittany	Бретань
Britisher	британец
Briton	бритт
Bronx	Бронкс
Brooklyn	Бруклин
Brunei	Бруней
Buddha	Будда
Burundi	Бурунди
Bushman	бушмен (народность в Африке)
Byzantine	византийский
Byzantinesque	византийский (о стиле)
Byzantium	Византия
Edwardian	времени
Deuteronomy	Второзаконие
Bruges	г. Брюгге
Brussels	г. Брюссель
Budapest	г. Будапешт
Bujumbura	г. Бужумбура
Buffalo	г. Буффало
Bukhara	г. Бухара
Bucharest	г. Бухарест
Gaborone	г. Габороне
Gdansk	г. Гданьск
Gdynia	г. Гдыня
Ghent	г. Гент
Genoa	г. Генуя
Gettysburg	г. Геттисберг
Glasgow	г. Глазго
Gorki	г. Горький
Greenwich	г. Грин(в)ич
Guayaquil	г. Гуаякиль
Gary	г. Гэри
Dudley	г. Дадли
Dakar	г. Дакар
Dacca	г. Дакка
Dallas	г. Даллас
Damascus	г. Дамаск
Dundee	г. Данди
Dartmouth	г. Дартмут
Delhi	г. Дели
Denver	г. Денвер
Detroit	г. Детройт
Georgetown	г. Джорджтаун
Dili	г. Дили
Doha	г. Доха
Dublin	г. Дублин
Dover	г. Дувр
Durban	г. Дурбан
Dushanbe	г. Душанбе
Dieppe	г. Дьепп
Dunkirk	г. Дюнкерк
Geneva	г. Женева
Cadiz	г. Кадис
Cairo	г. Каир
Cayenne	г. Кайенна
Calais	г. Кале
Calcutta	г. Калькутта
Canberra	г. Канберра
Cannes	г. Канн
Cannae	г. Канны
Caracas	г. Каракас
Cardiff	г. Кардифф
Carlisle	г. Карлайл
Castries	г. Кастри
Capetown	г. Кейптаун
Cologne	г. Кельн
Cambridge	г. Кембридж
Canterbury	г. Кентербери
Cleveland	г. Кливленд
Coventry	г. Ковентри
Colombo	г. Коломбо
Conakry	г. Конакри
Constantinople	г. Константинополь
Constantsa	г. Констанца
Copenhagen	г. Копенгаген
Cork	г. Корк
Cottonopolis	г. Манчестер (как центр хлопчатобумажной промышленности)
Frisco	г. Сан-Франциско
Fes	г. Фес
Fez	г. Фес
Florence	г. Флоренция
Folkestone	г. Фолкстон
Freetown	г. Фритаун
Frunze	г. Фрунзе
Funafuti	г. Фунафути
Fairbanks	г. Фэрбенкс
Cincinnati	г. Цинциннати
Chatham	г. Чатем
Cheltenham	г. Челтнем
Chester	г. Честер
Chicago	г. Чикаго
Chungking	г. Чунцин
Cherbourg	г. Шербур
Edinburgh	г. Эдинбург
Entebbe	г. Энтеббе
Gabon	Габон
Gaboon	Габон
Gabriel	Габриель
Gaul	Галлия
Gallomaniac	галломан
Gaulish	галльский
Gambia	Гамбия
Ghana	Гана
Gascon	гасконец
Gauleiter	гаулейтер (национал-социалистский руководитель области в фашистской Германии , обыкн. на оккупированных территориях)
Gaelic	гаэльский
Guadeloupe	Гваделупа
Guatemala	Гватемала г. Гватемала
Guatemalan	гватемалец
Gehenna	геенна
Genoese	генуэзский
Germanize	германизировать
Germany	Германия
German	германский
Germanic	германский
Gertrude	Гертруда
Gibraltar	Гибралтар
Gideon	Гидеон
Gilbert	Гил(ь)берт
Commander-in-Chief	главнокомандующий
Gloria	Глория
Gladys	Глэдис
Gobelin	гобелен
Gobi	Гоби
Godwin	Годвин
Godfrey	Годфри
Calvary	Голгофа
Golgotha	Голгофа
Goliath	Голиаф
Gorgon	Горгона
Gordon	Гордон
Goth	гот
Gothic	готский
Gregory	Грегори
Graham	Грейам
Grace	Грейс
Greek	грек
Grenada	Гренада
Greenland	Гренландия
Greece	Греция
Grecian	греческий (о стиле)
Gregorian	григорианский
Griffith	Гриффит
Georgian	грузинский
CSRG	группа исследований в области вычислительных машин
Dalmatian	далматский
Far-Eastern	дальневосточный
Damocles	Дамокл
Denmark	Дания
Darwinism	дарвинизм
Darwinian	дарвинист
Durham	Дарем
Danelaw	датские законы (установленные в сев.-восточной Британии в X в.)
Danish	датский
Dane	датчанин
Down	Даун
Diesel	двигатель Дизеля
Deborah	Дебора
Devonian	девонширский
Decembrist	декабрист
December	декабрь
Delaware	Делавэр
Delphian	дельфийский
Demos	демос
Demosthenic	демосфеновский
Childermas	день избиения младенцев (28 декабря)
D-day	день начала операции
Desmond	Десмонд
Brummagem	дешевое
Gerald	Джеральд
Geffrey	Джеффри
Geoffrey	Джеффри
Chomolungma	Джомолунгма
Georgia	Джорджия (штат США) Грузия
Cynthia	Диана
Diana	Диана
Dinah	Дина
Dionysiacs	дионисии
Dolores	Долорес
Charterhouse	дом для престарелых пенсионеров (в Лондоне)
Dominican	доминиканский
Donald	Дональд
Donegal	Донегол
Doris	Дорис
Dorian	дорический
Doric	дорический
Dorking	доркинг (английская порода мясных кур)
Dorothy	Дороти
Draco	Дракон (созвездие)
Dracaena	драконник
Draconian	драконовский
Draconic	драконовский
Dresden	дрезденский фарфор (тж. Dresden china)
Druid	друид
Douglas	Дуглас
Dumbartonshire	Думбартоншир (графство в Шотландии)
David	Дэвид
Daniel	Дэниел
Eva	Ева
Eve	Ева
Euclid	Евклид
Eurasian	евразийский
Eurocrat	еврократ
Europe	Европа
European	европейский
Eurocentric	евроцентричный
Eucharist	евхаристия
Egypt	Египет
Egyptian	египетский
Egyptology	египтология
Enoch	Енох
Genevan	женевский
Girondist	жирондист
Cumbrian	житель Камберленда
Grub-street	журнальные компиляторы
Cinderella	Золушка
Congregationalism	индепендентство
Erin	Ирландия
Erse	ирландский гаэльский язык
Esau	Исав
Eton	Итонский колледж
Caaba	кааба
Cavan	Каван (графство в Ирландии)
Caucasus	Кавказ
Caucasian	кавказский
Cossack	казак
Cain	Каин
Caliban	калибан
California	Калифорния
Calvados	кальвадос
Calvinism	кальвинизм
Cumberland	Камберленд
Cameroon	Камерун
Canada	Канада
Canuck	канадец (особ. французского происхождения)
Canadian	канадский
Canasta	канаста (карточная игра)
Candida	Кандида
Cantonese	кантонец
Capitol	Капитолий
Capuchin	капуцин (монах)
Carlow	Карлоу (графство в Ирландии)
Carmagnole	карманьола
Carmelite	кармелит (монах)
Caroline	каролингский
Carolines	Каролинские острова
Carpathians	Карпатские горы
Carthusian	картезианец (монах)
Cartesian	картезианский
Carthage	Карфаген
Carthago	Карфаген
Carthaginian	карфагенский
Caspar	Каспар
Catalan	каталонский
Catholicism	католичество
Caithness	Кейтнесс (графство в Шотландии)
Celtic	кельтский
Cantabrigian	кембриджский
Cambridgeshire	Кембриджшир (графство в Англии)
Cimmerian	киммерийский
Cyprus	Кипр
Cyprian	кипрский
Chinee	китаец
Cathay	Китай
China	Китай
Chinese	китайский
Chinatown	китайский квартал (в некитайском городе)
Chinawoman	китаянка
Claudius	Клавдий
God's-acre	кладбище
Clackmannan	Клакманнан
Clara	Клара
Clydesdale	клейдесдальская порода лошадей-тяжеловозов
Clement	Клемент
Clementina	Клементина
Clementine	Клементина
Clifford	Клиффорд
Clare	Клэр
Clarence	Клэренс
Gladstone	кожаный саквояж (тж. Gladstone bag)
Capricorn	Козерог (созвездие и знак зодиака)
Coliseum	Колизей (в Риме)
Colorado	Колорадо
Colombian	колумбийский
Columbian	колумбийский
Columbia	Колумбия (город и река)
Colombia	Колумбия (страна)
Connecticut	Коннектикут
Connor	Коннор
Constance	Констанс
Copt	копт
Coptic	коптский
Cora	Кора
Cordelia	Корделия
Corinth	Коринф
Corinthian	коринфский
Cornelius	Корнелий
Cornelia	Корнелия
Cornwall	Корнуолл
Cornish	корнуоллский
Christmas-box	коробка с рождественскими подарками
Cortes	кортесы (парламент в Испании , Португалии)
Croesus	Крез
Creole	креол
Christiana	Кристиана
Christine	Кристин
Christina	Кристина
Christopher	Кристофер
Cretan	критский
Crimea	Крым
Crimean	крымский
Cuba	Куба
Cuban	кубинский
Cupid	Купидон
Carol	Кэрол
Catherine	Кэтрин
George	летчик
Bruin	Мишка (прозвище медведя в фольклоре)
Dorcas	название английского женского благотворительного общества для снабжения бедных одеждой (тж. Dorcas Society)
Four-F	негодный к действительной военной службе
Germanism	немецкий оборот
Dutchman	нидерландец
Dutchwoman	нидерландка
Dail	нижняя палата парламента Ирландии
Everyman	обыкновенный
Guernsey	о-в Гернси
Guadalcanal	о-в Гуадалканал
Guam	о-в Гуам
Corsica	о-в Корсика
Corfu	о-в Корфу
Crete	о-в Крит
Curacao	о-в Кюрасао
Chios	о-в Хиос
Celebes	о-в Целебес
Elba	о-в Эльба
Catherine-wheel	огненное колесо (фейерверк)
Erie	озеро Эри
Fabian	осторожный
Brummie	относящийся к Бирмингему
Glaswegian	относящийся к г. Глазго
Ghanaian	относящийся к Гане
Etonian	относящийся к Итонскому колледжу
Frenchify	офранцуживать(ся)
Easter	пасха (праздник)
Eastertide	пасхальная неделя
Etesian	периодический
Dardanelles	пролив Дарданеллы
Friday	пятница
Bug	р. Буг
Ganges	р. Ганг
Daugava	р. Даугава
Dnieper	р. Днепр
Dniester	р. Днестр
Don	р. Дон
Danube	р. Дунай
Euphrates	р. Евфрат
Clyde	р. Клайд
Congo	р. Конго
Forth	р. Форт
Elbe	р. Эльба
Crustacea	ракообразные
GOPster	республиканец (член республиканской партии США)
Christmas-tree	рождественская елка
Christmassy	рождественский
Christmas	рождество (_сокр. Xmas)
Cyrus	Сайрес
Caesarian	самодержавный
Goulard	свинцовая примочка (тж. Goulard water)
Christmas-tide	святки
Cecil	Сесил
Cecillia	Сесилия
Cecily	Сесилия
Cingalese	сингальский
Cyril	Сирил
Fairyland	сказочная
Cockaigne	сказочная страна изобилия и праздности
Dryasdust	скучный
Daedalian	сложный
Frankenstein	творение рук человеческих
Fahrenheit	термометр Фаренгейта
Celsius	термометр Цельсия
Fuel	топливо
Cypriote	уроженец Кипра
Grundyism	условная мораль (по имени
Confucianism	учение Конфуция
Cambria	Уэльс
Cambrian	уэльский
Cymric	уэльсский
Fife	Файф
Falangist	фалангист
Faroes	Фарерские острова
February	февраль
Felix	Феликс
Felice	Фелиция
Felicia	Фелиция
Fenian	фений (член тайного общества , боровшегося за освобождение Ирландии от английского владычества)
Ferdinand	Фердинанд
Fermanagh	Фермана (графство в Северной Ирландии)
Fidelia	Фиделия
Fiji	Фиджи
Finland	Финляндия
Finn	финн
Finno-Ugrian	финно-угорский (о языках)
Finnic	финский
Finnish	финский
Fleming	фламандец
Flemish	фламандский
Flora	Флора
Florentine	флорентийский
Florida	Флорида
Formosa	Формоза
Frances	Франсис
Francis	Франсис
Franciscan	францисканский
France	Франция
Frenchwoman	француженка
Frenchman	француз
French	французский
Freudian	фрейдистский
Frisian	фризский
Fronde	фронда
Fujiyama	Фудзияма
Chaldean	халдейский
Canaan	Ханаан
Croat	хорват
Croatian	хорватский
Christian	христианский
Christendom	христианский мир
Christianity	христианство
Christ	Христос
Caesar	Цезарь
Ceres	Церера
Cyclops	циклоп
Cyclopean	циклопический
Circe	Цирцея
Cistercian	цистерцианец (монах примыкавшего к бенедиктинцам ордена)
Cicero	Цицерон
Ciceronian	цицероновский
Gipsy	цыган
Chad	Чад
Charles	Чарл(ь)з
Charley	Чарли (прозвище лисы в фольклоре)
Charleston	чарльстон (танец)
Cheddar	чеддер (сорт сыра)
Circassian	черкесский
Czechoslovakia	Чехословакия
Czechoslovak	чехословацкий
Cheshire	Чешир (графство в Англии)
Czech	чешский
Chile	Чили
Chilean	чилийский
Chippendale	чиппендель (стиль англ. мебели XVIII в.)
Congressman	член конгресса
Chaucerian	чосеровский
Charlotte	Шарлотта
Caledonia	Шотландия
Caledonian	шотландский
Gael	шотландский (реже ирландский) кельт , гаэл
Eveline	Эвелин
Evelyn	Эвелин
Evelina	Эвелина
Everest	Эверест
Edam	эдамский сыр
Edward	Эдвард
Edwin	Эдвин
Edgar	Эдгар
Eden	Эдем
Edith	Эдит
Edmund	Эдмунд
Edna	Эдна
Eire	Эйре
Ecuadorian	эквадорский
Ecuador	Экуадор
Elisabeth	Элизабет
Elizabeth	Элизабет
Elysium	элизиум
Eleanor	Элинор
Elliot	Эллиот
Elmer	Элмер
Elbrus	Эльбрус
Elbruz	Эльбрус
Elvira	Эльвира
Elzevir	эльзевир (книга голландского издания XVI-XVII вв.)
Emmanuel	Эм(м)ануэль
Emery	Эмери
Emily	Эмили
Emilia	Эмилия
Emma	Эмма
Eneas	Эней
Elizabethan	эпохи королевы Елизаветы
Epsom	Эпсом (место скачек и самые скачки)
Erasmus	Эразм
Erebus	Эреб
Ernest	Эрн(е)ст
Eros	Эрос
Eskimo	эскимос
Esperanto	эсперанто (язык)
Essex	Эссекс (графство в Англии)
Esther	Эстер
Estonia	Эстония
Estonian	эстонский
Ethel	Этель
Etna	Этна
Etruscan	этрусский
Ethiopia	Эфиопия
Ethiopian	эфиопский
Eugene	Юджин
Eustace	Юстас
Day-glo	яркие цвета
British	(велико)британский
Thunderer	(the Thunderer) громовержец (Юпитер , Тор)
Vulgate	(the Vulgate) вульгата (латинский перевод библии IV в.)
